2 988 30
2 989 30
2 990 29
2 991 31
2 992 30
2 993 31
2 994 31
2 995 30
2 996 30
2 997 29
2 998 29
2 999 29
2 1000 29
2 1001 29
2 1002 29
2 1003 29
2 1004 29
2 1005 30
2 1006 30
2 1007 29
2 1008 29
2 1009 29
2 1010 29
2 1011 29
2 1012 29
2 1013 29
2 1014 31
2 1015 29
2 1016 29
2 1017 29
2 1018 29
2 1019 29
2 1020 29
2 1021 29
2 1022 29
2 1023 29
2 1024 29
2 1025 30
2 1026 31
2 1027 31
2 1028 30
2 1029 30
2 1030 29
2 1031 31
2 1032 31
2 1033 31
2 1034 31
2 1035 30
2 1036 30
2 1037 29
2 1038 29
2 1039 29
2 1040 29
2 1041 29
2 1042 30
2 1043 31
2 1044 31
2 1045 31
2 1046 31
2 1047 30
2 1048 30
2 1049 30
2 1050 29
2 1051 31
2 1052 31
2 1053 30
2 1054 31
2 1055 30
2 1056 30
2 1057 29
2 1058 29
2 1059 29
2 1060 29
2 1061 30
2 1062 31
2 1063 31
2 1064 31
2 1065 31
2 1066 31
2 1067 31
2 1068 30
2 1069 30
2 1070 29
2 1071 31
2 1072 31
2 1073 30
2 1074 30
2 1075 30
2 1076 30
2 1077 30
2 1078 29
2 1079 29
2 1080 29
2 1081 29
2 1082 29
2 1083 31
2 1084 31
2 1085 31
2 1086 31
2 1087 30
2 1088 30
2 1089 30
2 1090 29
2 1091 31
2 1092 31
2 1093 30
2 1094 31
2 1095 30
2 1096 30
2 1097 29
2 1098 29
2 1099 29
2 1100 29
2 1101 29
2 1102 29
2 1103 29
2 1104 30
2 1105 29
2 1106 30
2 1107 29
2 1108 29
2 1109 29
2 1110 29
2 1111 29
2 1112 30
2 1113 30
2 1114 31
2 1115 29
2 1116 29
2 1117 29
2 1118 29
2 1119 29
2 1120 29
2 1121 29
2 1122 29
2 1123 30
2 1124 30
2 1125 31
2 1126 30
2 1127 30
2 1128 29
2 1129 29
2 1130 29
2 1131 31
2 1132 29
2 1133 30
2 1134 31
2 1135 29
2 1136 30
2 1137 29
2 1138 29
2 1139 29
2 1140 29
2 1141 29
2 1142 31
2 1143 31
2 1144 31
2 1145 31
2 1146 31
2 1147 31
2 1148 30
2 1149 30
2 1150 29
2 1151 31
2 1152 31
2 1153 30
2 1154 30
2 1155 31
2 1156 29
2 1157 30
2 1158 29
2 1159 30
2 1160 29
2 1161 30
2 1162 31
2 1163 31
2 1164 30
2 1165 30
2 1166 31
2 1167 31
2 1168 30
2 1169 30
2 1170 30
2 1171 31
2 1172 31
2 1173 30
2 1174 30
2 1175 30
2 1176 30
2 1177 29
2 1178 29
2 1179 29
2 1180 29
2 1181 29
2 1182 31
2 1183 31
2 1184 31
2 1185 31
2 1186 31
2 1187 31
2 1188 30
2 1189 30
2 1190 29
2 1191 30
